Area of Residence,Year,Age at Death,Female,Male,_Total
Arklow Town,2007,1 - 4 years,0,0,0
Arklow Town,2007,10 - 14 years,0,0,0
Arklow Town,2007,15 - 19 years,0,0,0
Arklow Town,2007,20 - 24 years,0,2,2
Arklow Town,2007,25 - 29 years,1,0,1
Arklow Town,2007,30 - 34 years,0,1,1
Arklow Town,2007,35 - 39 years,1,2,3
Arklow Town,2007,40 - 44 years,0,0,0
Arklow Town,2007,45 - 49 years,1,0,1
Arklow Town,2007,5 - 9 years,0,0,0
Arklow Town,2007,50 - 54 years,0,2,2
Arklow Town,2007,55 - 59 years,2,1,3
Arklow Town,2007,60 - 64 years,1,2,3
Arklow Town,2007,65 - 69 years,4,7,11
Arklow Town,2007,70 - 74 years,8,9,17
Arklow Town,2007,75 - 79 years,7,10,17
Arklow Town,2007,80 - 84 years,10,9,19
Arklow Town,2007,85 years and over,16,8,24
Arklow Town,2007,Under 1 year,0,0,0
Arklow Town,2008,1 - 4 years,0,0,0
Arklow Town,2008,10 - 14 years,0,0,0
Arklow Town,2008,15 - 19 years,0,1,1
Arklow Town,2008,20 - 24 years,1,1,2
Arklow Town,2008,25 - 29 years,1,0,1
Arklow Town,2008,30 - 34 years,0,1,1
Arklow Town,2008,35 - 39 years,2,1,3
Arklow Town,2008,40 - 44 years,3,1,4
Arklow Town,2008,45 - 49 years,1,2,3
Arklow Town,2008,5 - 9 years,0,1,1
Arklow Town,2008,50 - 54 years,2,1,3
Arklow Town,2008,55 - 59 years,4,1,5
Arklow Town,2008,60 - 64 years,1,6,7
Arklow Town,2008,65 - 69 years,4,3,7
Arklow Town,2008,70 - 74 years,1,6,7
Arklow Town,2008,75 - 79 years,2,7,9
Arklow Town,2008,80 - 84 years,7,11,18
Arklow Town,2008,85 years and over,11,8,19
Arklow Town,2008,Under 1 year,0,1,1
Arklow Town,2009,1 - 4 years,0,0,0
Arklow Town,2009,10 - 14 years,0,0,0
Arklow Town,2009,15 - 19 years,1,1,2
Arklow Town,2009,20 - 24 years,1,1,2
Arklow Town,2009,25 - 29 years,1,1,2
Arklow Town,2009,30 - 34 years,0,1,1
Arklow Town,2009,35 - 39 years,2,1,3
Arklow Town,2009,40 - 44 years,3,2,5
Arklow Town,2009,45 - 49 years,3,2,5
Arklow Town,2009,5 - 9 years,0,1,1
Arklow Town,2009,50 - 54 years,1,1,2
Arklow Town,2009,55 - 59 years,4,2,6
Arklow Town,2009,60 - 64 years,1,1,2
Arklow Town,2009,65 - 69 years,1,3,4
Arklow Town,2009,70 - 74 years,2,3,5
Arklow Town,2009,75 - 79 years,10,1,11
Arklow Town,2009,80 - 84 years,8,6,14
Arklow Town,2009,85 years and over,11,8,19
Arklow Town,2009,Under 1 year,1,1,2
Arklow Town,2010,1 - 4 years,0,0,0
Arklow Town,2010,10 - 14 years,0,0,0
Arklow Town,2010,15 - 19 years,1,1,2
Arklow Town,2010,20 - 24 years,1,1,2
Arklow Town,2010,25 - 29 years,1,1,2
Arklow Town,2010,30 - 34 years,0,1,1
Arklow Town,2010,35 - 39 years,2,1,3
Arklow Town,2010,40 - 44 years,3,2,5
Arklow Town,2010,45 - 49 years,3,1,4
Arklow Town,2010,5 - 9 years,0,1,1
Arklow Town,2010,50 - 54 years,1,1,2
Arklow Town,2010,55 - 59 years,4,2,6
Arklow Town,2010,60 - 64 years,1,1,2
Arklow Town,2010,65 - 69 years,1,1,2
Arklow Town,2010,70 - 74 years,2,5,7
Arklow Town,2010,75 - 79 years,4,4,8
Arklow Town,2010,80 - 84 years,4,4,8
Arklow Town,2010,85 years and over,10,2,12
Arklow Town,2010,Under 1 year,2,1,3
Arklow Town,2011,1 - 4 years,0,0,0
Arklow Town,2011,10 - 14 years,0,0,0
Arklow Town,2011,15 - 19 years,0,0,0
Arklow Town,2011,20 - 24 years,0,2,2
Arklow Town,2011,25 - 29 years,0,0,0
Arklow Town,2011,30 - 34 years,2,1,3
Arklow Town,2011,35 - 39 years,0,0,0
Arklow Town,2011,40 - 44 years,1,0,1
Arklow Town,2011,45 - 49 years,0,0,0
Arklow Town,2011,5 - 9 years,0,0,0
Arklow Town,2011,50 - 54 years,3,2,5
Arklow Town,2011,55 - 59 years,1,3,4
Arklow Town,2011,60 - 64 years,2,5,7
Arklow Town,2011,65 - 69 years,3,6,9
Arklow Town,2011,70 - 74 years,4,4,8
Arklow Town,2011,75 - 79 years,1,7,8
Arklow Town,2011,80 - 84 years,6,5,11
Arklow Town,2011,85 years and over,11,1,12
Arklow Town,2011,Under 1 year,0,1,1
Arklow Town,2012,1 - 4 years,0,0,0
Arklow Town,2012,10 - 14 years,0,0,0
Arklow Town,2012,15 - 19 years,0,1,1
Arklow Town,2012,20 - 24 years,0,2,2
Arklow Town,2012,25 - 29 years,0,1,1
Arklow Town,2012,30 - 34 years,2,1,3
Arklow Town,2012,35 - 39 years,0,0,0
Arklow Town,2012,40 - 44 years,1,1,2
Arklow Town,2012,45 - 49 years,1,2,3
Arklow Town,2012,5 - 9 years,0,0,0
Arklow Town,2012,50 - 54 years,2,2,4
Arklow Town,2012,55 - 59 years,2,2,4
Arklow Town,2012,60 - 64 years,2,2,4
Arklow Town,2012,65 - 69 years,4,9,13
Arklow Town,2012,70 - 74 years,4,4,8
Arklow Town,2012,75 - 79 years,5,9,14
Arklow Town,2012,80 - 84 years,7,8,15
Arklow Town,2012,85 years and over,13,7,20
Arklow Town,2012,Under 1 year,0,1,1
Arklow Town,2013,1 - 4 years,0,1,1
Arklow Town,2013,10 - 14 years,0,0,0
Arklow Town,2013,15 - 19 years,0,0,0
Arklow Town,2013,20 - 24 years,0,0,0
Arklow Town,2013,25 - 29 years,0,1,1
Arklow Town,2013,30 - 34 years,0,0,0
Arklow Town,2013,35 - 39 years,0,0,0
Arklow Town,2013,40 - 44 years,1,0,1
Arklow Town,2013,45 - 49 years,1,1,2
Arklow Town,2013,5 - 9 years,0,0,0
Arklow Town,2013,50 - 54 years,2,2,4
Arklow Town,2013,55 - 59 years,2,4,6
Arklow Town,2013,60 - 64 years,2,6,8
Arklow Town,2013,65 - 69 years,4,1,5
Arklow Town,2013,70 - 74 years,6,9,15
Arklow Town,2013,75 - 79 years,3,5,8
Arklow Town,2013,80 - 84 years,7,6,13
Arklow Town,2013,85 years and over,16,2,18
Arklow Town,2013,Under 1 year,0,0,0
Arklow Town,2014,1 - 4 years,0,1,1
Arklow Town,2014,10 - 14 years,0,0,0
Arklow Town,2014,15 - 19 years,0,0,0
Arklow Town,2014,20 - 24 years,1,0,1
Arklow Town,2014,25 - 29 years,1,1,2
Arklow Town,2014,30 - 34 years,0,1,1
Arklow Town,2014,35 - 39 years,0,0,0
Arklow Town,2014,40 - 44 years,1,2,3
Arklow Town,2014,45 - 49 years,1,1,2
Arklow Town,2014,5 - 9 years,0,0,0
Arklow Town,2014,50 - 54 years,1,2,3
Arklow Town,2014,55 - 59 years,2,2,4
Arklow Town,2014,60 - 64 years,2,2,4
Arklow Town,2014,65 - 69 years,4,2,6
Arklow Town,2014,70 - 74 years,1,3,4
Arklow Town,2014,75 - 79 years,7,6,13
Arklow Town,2014,80 - 84 years,4,10,14
Arklow Town,2014,85 years and over,16,10,26
Arklow Town,2014,Under 1 year,1,1,2
Arklow Town,2015,1 - 4 years,0,1,1
Arklow Town,2015,10 - 14 years,0,0,0
Arklow Town,2015,15 - 19 years,0,0,0
Arklow Town,2015,20 - 24 years,1,0,1
Arklow Town,2015,25 - 29 years,1,1,2
Arklow Town,2015,30 - 34 years,0,1,1
Arklow Town,2015,35 - 39 years,0,0,0
Arklow Town,2015,40 - 44 years,1,2,3
Arklow Town,2015,45 - 49 years,1,1,2
Arklow Town,2015,5 - 9 years,0,0,0
Arklow Town,2015,50 - 54 years,1,2,3
Arklow Town,2015,55 - 59 years,2,2,4
Arklow Town,2015,60 - 64 years,2,2,4
Arklow Town,2015,65 - 69 years,4,2,6
Arklow Town,2015,70 - 74 years,1,3,4
Arklow Town,2015,75 - 79 years,7,6,13
Arklow Town,2015,80 - 84 years,4,10,14
Arklow Town,2015,85 years and over,16,10,26
Arklow Town,2015,Under 1 year,1,1,2
Arklow Town,2016,1 - 4 years,0,1,1
Arklow Town,2016,10 - 14 years,0,0,0
Arklow Town,2016,15 - 19 years,0,0,0
Arklow Town,2016,20 - 24 years,1,0,1
Arklow Town,2016,25 - 29 years,1,1,2
Arklow Town,2016,30 - 34 years,0,1,1
Arklow Town,2016,35 - 39 years,0,0,0
Arklow Town,2016,40 - 44 years,1,2,3
Arklow Town,2016,45 - 49 years,1,1,2
Arklow Town,2016,5 - 9 years,0,0,0
Arklow Town,2016,50 - 54 years,1,2,3
Arklow Town,2016,55 - 59 years,2,2,4
Arklow Town,2016,60 - 64 years,2,2,4
Arklow Town,2016,65 - 69 years,4,2,6
Arklow Town,2016,70 - 74 years,1,3,4
Arklow Town,2016,75 - 79 years,7,6,13
Arklow Town,2016,80 - 84 years,4,10,14
Arklow Town,2016,85 years and over,16,10,26
Arklow Town,2016,Under 1 year,1,1,2
Arklow Town,2017,1 - 4 years,0,1,1
Arklow Town,2017,10 - 14 years,0,0,0
Arklow Town,2017,15 - 19 years,0,0,0
Arklow Town,2017,20 - 24 years,1,1,2
Arklow Town,2017,25 - 29 years,1,1,2
Arklow Town,2017,30 - 34 years,0,1,1
Arklow Town,2017,35 - 39 years,1,1,2
Arklow Town,2017,40 - 44 years,1,7,8
Arklow Town,2017,45 - 49 years,1,2,3
Arklow Town,2017,5 - 9 years,0,0,0
Arklow Town,2017,50 - 54 years,1,2,3
Arklow Town,2017,55 - 59 years,2,2,4
Arklow Town,2017,60 - 64 years,3,4,7
Arklow Town,2017,65 - 69 years,2,3,5
Arklow Town,2017,70 - 74 years,1,6,7
Arklow Town,2017,75 - 79 years,3,8,11
Arklow Town,2017,80 - 84 years,12,8,20
Arklow Town,2017,85 years and over,14,8,22
Arklow Town,2017,Under 1 year,2,1,3
Arklow Town,2018,1 - 4 years,0,0,0
Arklow Town,2018,10 - 14 years,0,0,0
Arklow Town,2018,15 - 19 years,0,0,0
Arklow Town,2018,20 - 24 years,0,0,0
Arklow Town,2018,25 - 29 years,1,1,2
Arklow Town,2018,30 - 34 years,0,0,0
Arklow Town,2018,35 - 39 years,0,1,1
Arklow Town,2018,40 - 44 years,0,1,1
Arklow Town,2018,45 - 49 years,1,0,1
Arklow Town,2018,5 - 9 years,0,0,0
Arklow Town,2018,50 - 54 years,3,4,7
Arklow Town,2018,55 - 59 years,1,1,2
Arklow Town,2018,60 - 64 years,1,3,4
Arklow Town,2018,65 - 69 years,3,4,7
Arklow Town,2018,70 - 74 years,5,2,7
Arklow Town,2018,75 - 79 years,5,4,9
Arklow Town,2018,80 - 84 years,3,5,8
Arklow Town,2018,85 years and over,10,15,25
Arklow Town,2018,Under 1 year,1,1,2
Arklow Town,2019,1 - 4 years,0,0,0
Arklow Town,2019,10 - 14 years,0,0,0
Arklow Town,2019,15 - 19 years,0,0,0
Arklow Town,2019,20 - 24 years,0,0,0
Arklow Town,2019,25 - 29 years,1,1,2
Arklow Town,2019,30 - 34 years,0,0,0
Arklow Town,2019,35 - 39 years,0,1,1
Arklow Town,2019,40 - 44 years,0,1,1
Arklow Town,2019,45 - 49 years,1,0,1
Arklow Town,2019,5 - 9 years,0,0,0
Arklow Town,2019,50 - 54 years,3,4,7
Arklow Town,2019,55 - 59 years,1,1,2
Arklow Town,2019,60 - 64 years,1,3,4
Arklow Town,2019,65 - 69 years,3,4,7
Arklow Town,2019,70 - 74 years,5,2,7
Arklow Town,2019,75 - 79 years,5,4,9
Arklow Town,2019,80 - 84 years,3,5,8
Arklow Town,2019,85 years and over,10,15,25
Arklow Town,2019,Under 1 year,1,1,2
Arklow Town,2020,1 - 4 years,0,0,0
Arklow Town,2020,10 - 14 years,0,0,0
Arklow Town,2020,15 - 19 years,0,0,0
Arklow Town,2020,20 - 24 years,0,0,0
Arklow Town,2020,25 - 29 years,1,1,2
Arklow Town,2020,30 - 34 years,0,0,0
Arklow Town,2020,35 - 39 years,0,1,1
Arklow Town,2020,40 - 44 years,0,1,1
Arklow Town,2020,45 - 49 years,1,0,1
Arklow Town,2020,5 - 9 years,0,0,0
Arklow Town,2020,50 - 54 years,3,4,7
Arklow Town,2020,55 - 59 years,1,1,2
Arklow Town,2020,60 - 64 years,1,3,4
Arklow Town,2020,65 - 69 years,3,4,7
Arklow Town,2020,70 - 74 years,5,2,7
Arklow Town,2020,75 - 79 years,5,4,9
Arklow Town,2020,80 - 84 years,3,5,8
Arklow Town,2020,85 years and over,10,15,25
Arklow Town,2020,Under 1 year,1,1,2
Athlone Town,2007,1 - 4 years,0,0,0
Athlone Town,2007,10 - 14 years,0,0,0
Athlone Town,2007,15 - 19 years,0,1,1
Athlone Town,2007,20 - 24 years,0,1,1
Athlone Town,2007,25 - 29 years,1,1,2
Athlone Town,2007,30 - 34 years,0,0,0
Athlone Town,2007,35 - 39 years,0,0,0
Athlone Town,2007,40 - 44 years,0,1,1
Athlone Town,2007,45 - 49 years,0,0,0
Athlone Town,2007,5 - 9 years,0,0,0
Athlone Town,2007,50 - 54 years,4,2,6
Athlone Town,2007,55 - 59 years,4,5,9
Athlone Town,2007,60 - 64 years,3,2,5
Athlone Town,2007,65 - 69 years,4,6,10
Athlone Town,2007,70 - 74 years,5,7,12
Athlone Town,2007,75 - 79 years,12,11,23
Athlone Town,2007,80 - 84 years,13,6,19
Athlone Town,2007,85 years and over,24,13,37
Athlone Town,2007,Under 1 year,0,0,0
Athlone Town,2008,1 - 4 years,0,0,0
Athlone Town,2008,10 - 14 years,0,0,0
Athlone Town,2008,15 - 19 years,0,1,1
Athlone Town,2008,20 - 24 years,0,1,1
Athlone Town,2008,25 - 29 years,1,1,2
Athlone Town,2008,30 - 34 years,0,1,1
Athlone Town,2008,35 - 39 years,0,0,0
Athlone Town,2008,40 - 44 years,2,1,3
Athlone Town,2008,45 - 49 years,4,4,8
Athlone Town,2008,5 - 9 years,0,0,0
Athlone Town,2008,50 - 54 years,1,2,3
Athlone Town,2008,55 - 59 years,2,4,6
Athlone Town,2008,60 - 64 years,4,4,8
Athlone Town,2008,65 - 69 years,1,9,10
Athlone Town,2008,70 - 74 years,7,13,20
Athlone Town,2008,75 - 79 years,7,5,12
Athlone Town,2008,80 - 84 years,18,11,29
Athlone Town,2008,85 years and over,29,15,44
Athlone Town,2008,Under 1 year,0,0,0
Athlone Town,2009,1 - 4 years,0,0,0
Athlone Town,2009,10 - 14 years,0,0,0
Athlone Town,2009,15 - 19 years,0,1,1
Athlone Town,2009,20 - 24 years,1,1,2
Athlone Town,2009,25 - 29 years,1,1,2
Athlone Town,2009,30 - 34 years,0,1,1
Athlone Town,2009,35 - 39 years,0,1,1
Athlone Town,2009,40 - 44 years,1,1,2
Athlone Town,2009,45 - 49 years,2,5,7
Athlone Town,2009,5 - 9 years,0,0,0
Athlone Town,2009,50 - 54 years,1,2,3
Athlone Town,2009,55 - 59 years,4,2,6
Athlone Town,2009,60 - 64 years,1,3,4
Athlone Town,2009,65 - 69 years,1,1,2
Athlone Town,2009,70 - 74 years,4,2,6
Athlone Town,2009,75 - 79 years,9,6,15
Athlone Town,2009,80 - 84 years,8,7,15
Athlone Town,2009,85 years and over,16,4,20
Athlone Town,2009,Under 1 year,0,0,0
Athlone Town,2010,1 - 4 years,0,0,0
Athlone Town,2010,10 - 14 years,0,0,0
Athlone Town,2010,15 - 19 years,0,1,1
Athlone Town,2010,20 - 24 years,1,1,2
Athlone Town,2010,25 - 29 years,1,1,2
Athlone Town,2010,30 - 34 years,0,1,1
Athlone Town,2010,35 - 39 years,0,1,1
Athlone Town,2010,40 - 44 years,1,1,2
Athlone Town,2010,45 - 49 years,2,1,3
Athlone Town,2010,5 - 9 years,0,0,0
Athlone Town,2010,50 - 54 years,1,2,3
Athlone Town,2010,55 - 59 years,1,4,5
Athlone Town,2010,60 - 64 years,3,8,11
Athlone Town,2010,65 - 69 years,4,3,7
Athlone Town,2010,70 - 74 years,6,5,11
Athlone Town,2010,75 - 79 years,7,5,12
Athlone Town,2010,80 - 84 years,11,5,16
Athlone Town,2010,85 years and over,21,12,33
Athlone Town,2010,Under 1 year,1,0,1
Athlone Town,2011,1 - 4 years,0,0,0
Athlone Town,2011,10 - 14 years,0,0,0
Athlone Town,2011,15 - 19 years,0,0,0
Athlone Town,2011,20 - 24 years,0,0,0
Athlone Town,2011,25 - 29 years,1,0,1
Athlone Town,2011,30 - 34 years,0,3,3
Athlone Town,2011,35 - 39 years,0,0,0
Athlone Town,2011,40 - 44 years,2,1,3
Athlone Town,2011,45 - 49 years,1,1,2
Athlone Town,2011,5 - 9 years,0,0,0
Athlone Town,2011,50 - 54 years,2,1,3
Athlone Town,2011,55 - 59 years,2,4,6
Athlone Town,2011,60 - 64 years,3,1,4
Athlone Town,2011,65 - 69 years,3,2,5
Athlone Town,2011,70 - 74 years,4,3,7
Athlone Town,2011,75 - 79 years,9,6,15
Athlone Town,2011,80 - 84 years,7,5,12
Athlone Town,2011,85 years and over,14,9,23
Athlone Town,2011,Under 1 year,0,0,0
Athlone Town,2012,1 - 4 years,0,0,0
Athlone Town,2012,10 - 14 years,0,0,0
Athlone Town,2012,15 - 19 years,0,0,0
Athlone Town,2012,20 - 24 years,0,1,1
Athlone Town,2012,25 - 29 years,1,0,1
Athlone Town,2012,30 - 34 years,0,3,3
Athlone Town,2012,35 - 39 years,0,0,0
Athlone Town,2012,40 - 44 years,2,1,3
Athlone Town,2012,45 - 49 years,1,2,3
Athlone Town,2012,5 - 9 years,0,0,0
Athlone Town,2012,50 - 54 years,2,1,3
Athlone Town,2012,55 - 59 years,3,4,7
Athlone Town,2012,60 - 64 years,3,1,4
Athlone Town,2012,65 - 69 years,7,6,13
Athlone Town,2012,70 - 74 years,9,5,14
Athlone Town,2012,75 - 79 years,7,8,15
Athlone Town,2012,80 - 84 years,8,9,17
Athlone Town,2012,85 years and over,24,12,36
Athlone Town,2012,Under 1 year,0,0,0
Athlone Town,2013,1 - 4 years,0,0,0
Athlone Town,2013,10 - 14 years,0,0,0
Athlone Town,2013,15 - 19 years,0,0,0
Athlone Town,2013,20 - 24 years,0,0,0
Athlone Town,2013,25 - 29 years,0,0,0
Athlone Town,2013,30 - 34 years,1,1,2
Athlone Town,2013,35 - 39 years,1,1,2
Athlone Town,2013,40 - 44 years,0,3,3
Athlone Town,2013,45 - 49 years,1,0,1
Athlone Town,2013,5 - 9 years,0,0,0
Athlone Town,2013,50 - 54 years,2,0,2
Athlone Town,2013,55 - 59 years,3,6,9
Athlone Town,2013,60 - 64 years,2,6,8
Athlone Town,2013,65 - 69 years,5,4,9
Athlone Town,2013,70 - 74 years,2,10,12
Athlone Town,2013,75 - 79 years,8,8,16
Athlone Town,2013,80 - 84 years,10,13,23
Athlone Town,2013,85 years and over,30,14,44
Athlone Town,2013,Under 1 year,0,0,0
Athlone Town,2014,1 - 4 years,0,0,0
Athlone Town,2014,10 - 14 years,0,0,0
Athlone Town,2014,15 - 19 years,0,0,0
Athlone Town,2014,20 - 24 years,0,1,1
Athlone Town,2014,25 - 29 years,0,0,0
Athlone Town,2014,30 - 34 years,1,1,2
Athlone Town,2014,35 - 39 years,1,1,2
Athlone Town,2014,40 - 44 years,0,3,3
Athlone Town,2014,45 - 49 years,1,1,2
Athlone Town,2014,5 - 9 years,0,0,0
Athlone Town,2014,50 - 54 years,2,0,2
Athlone Town,2014,55 - 59 years,3,4,7
Athlone Town,2014,60 - 64 years,1,6,7
Athlone Town,2014,65 - 69 years,2,4,6
Athlone Town,2014,70 - 74 years,4,9,13
Athlone Town,2014,75 - 79 years,9,8,17
Athlone Town,2014,80 - 84 years,17,9,26
Athlone Town,2014,85 years and over,31,10,41
Athlone Town,2014,Under 1 year,0,1,1
Athlone Town,2015,1 - 4 years,0,0,0
Athlone Town,2015,10 - 14 years,0,0,0
Athlone Town,2015,15 - 19 years,0,0,0
Athlone Town,2015,20 - 24 years,0,1,1
Athlone Town,2015,25 - 29 years,0,0,0
Athlone Town,2015,30 - 34 years,1,1,2
Athlone Town,2015,35 - 39 years,1,1,2
Athlone Town,2015,40 - 44 years,0,3,3
Athlone Town,2015,45 - 49 years,1,1,2
Athlone Town,2015,5 - 9 years,0,0,0
Athlone Town,2015,50 - 54 years,2,0,2
Athlone Town,2015,55 - 59 years,3,4,7
Athlone Town,2015,60 - 64 years,1,6,7
Athlone Town,2015,65 - 69 years,2,4,6
Athlone Town,2015,70 - 74 years,4,9,13
Athlone Town,2015,75 - 79 years,9,8,17
Athlone Town,2015,80 - 84 years,17,9,26
Athlone Town,2015,85 years and over,31,10,41
Athlone Town,2015,Under 1 year,0,1,1
Athlone Town,2016,1 - 4 years,0,0,0
Athlone Town,2016,10 - 14 years,0,0,0
Athlone Town,2016,15 - 19 years,0,0,0
Athlone Town,2016,20 - 24 years,0,1,1
Athlone Town,2016,25 - 29 years,0,0,0
Athlone Town,2016,30 - 34 years,1,1,2
Athlone Town,2016,35 - 39 years,1,1,2
Athlone Town,2016,40 - 44 years,0,3,3
Athlone Town,2016,45 - 49 years,1,1,2
Athlone Town,2016,5 - 9 years,0,0,0
Athlone Town,2016,50 - 54 years,2,0,2
Athlone Town,2016,55 - 59 years,3,4,7
Athlone Town,2016,60 - 64 years,1,6,7
Athlone Town,2016,65 - 69 years,2,4,6
Athlone Town,2016,70 - 74 years,4,9,13
Athlone Town,2016,75 - 79 years,9,8,17
Athlone Town,2016,80 - 84 years,17,9,26
Athlone Town,2016,85 years and over,31,10,41
Athlone Town,2016,Under 1 year,0,1,1
Athlone Town,2017,1 - 4 years,0,0,0
Athlone Town,2017,10 - 14 years,0,0,0
Athlone Town,2017,15 - 19 years,0,0,0
Athlone Town,2017,20 - 24 years,0,1,1
Athlone Town,2017,25 - 29 years,0,0,0
Athlone Town,2017,30 - 34 years,1,3,4
Athlone Town,2017,35 - 39 years,1,2,3
Athlone Town,2017,40 - 44 years,0,3,3
Athlone Town,2017,45 - 49 years,1,1,2
Athlone Town,2017,5 - 9 years,0,0,0
Athlone Town,2017,50 - 54 years,1,0,1
Athlone Town,2017,55 - 59 years,3,3,6
Athlone Town,2017,60 - 64 years,4,6,10
Athlone Town,2017,65 - 69 years,8,8,16
Athlone Town,2017,70 - 74 years,6,3,9
Athlone Town,2017,75 - 79 years,5,11,16
Athlone Town,2017,80 - 84 years,11,9,20
Athlone Town,2017,85 years and over,27,13,40
Athlone Town,2017,Under 1 year,1,1,2
Athlone Town,2018,1 - 4 years,0,0,0
Athlone Town,2018,10 - 14 years,0,0,0
Athlone Town,2018,15 - 19 years,0,0,0
Athlone Town,2018,20 - 24 years,0,0,0
Athlone Town,2018,25 - 29 years,0,1,1
Athlone Town,2018,30 - 34 years,0,0,0
Athlone Town,2018,35 - 39 years,0,0,0
Athlone Town,2018,40 - 44 years,0,1,1
Athlone Town,2018,45 - 49 years,2,1,3
Athlone Town,2018,5 - 9 years,0,0,0
Athlone Town,2018,50 - 54 years,1,2,3
Athlone Town,2018,55 - 59 years,0,4,4
Athlone Town,2018,60 - 64 years,4,2,6
Athlone Town,2018,65 - 69 years,4,8,12
Athlone Town,2018,70 - 74 years,8,9,17
Athlone Town,2018,75 - 79 years,7,7,14
Athlone Town,2018,80 - 84 years,11,8,19
Athlone Town,2018,85 years and over,21,12,33
Athlone Town,2018,Under 1 year,0,0,0
Athlone Town,2019,1 - 4 years,0,0,0
Athlone Town,2019,10 - 14 years,0,0,0
Athlone Town,2019,15 - 19 years,0,0,0
Athlone Town,2019,20 - 24 years,0,0,0
Athlone Town,2019,25 - 29 years,0,1,1
Athlone Town,2019,30 - 34 years,0,0,0
Athlone Town,2019,35 - 39 years,0,0,0
Athlone Town,2019,40 - 44 years,0,1,1
Athlone Town,2019,45 - 49 years,2,1,3
Athlone Town,2019,5 - 9 years,0,0,0
Athlone Town,2019,50 - 54 years,1,2,3
Athlone Town,2019,55 - 59 years,0,4,4
Athlone Town,2019,60 - 64 years,4,2,6
Athlone Town,2019,65 - 69 years,4,8,12
Athlone Town,2019,70 - 74 years,8,9,17
Athlone Town,2019,75 - 79 years,7,7,14
Athlone Town,2019,80 - 84 years,11,8,19
Athlone Town,2019,85 years and over,21,12,33
Athlone Town,2019,Under 1 year,0,0,0
Athlone Town,2020,1 - 4 years,0,0,0
Athlone Town,2020,10 - 14 years,0,0,0
Athlone Town,2020,15 - 19 years,0,0,0
Athlone Town,2020,20 - 24 years,0,0,0
Athlone Town,2020,25 - 29 years,0,1,1
Athlone Town,2020,30 - 34 years,0,0,0
Athlone Town,2020,35 - 39 years,0,0,0
Athlone Town,2020,40 - 44 years,0,1,1
Athlone Town,2020,45 - 49 years,2,1,3
Athlone Town,2020,5 - 9 years,0,0,0
Athlone Town,2020,50 - 54 years,1,2,3
Athlone Town,2020,55 - 59 years,0,4,4
Athlone Town,2020,60 - 64 years,4,2,6
Athlone Town,2020,65 - 69 years,4,8,12
Athlone Town,2020,70 - 74 years,8,9,17
Athlone Town,2020,75 - 79 years,7,7,14
Athlone Town,2020,80 - 84 years,11,8,19
Athlone Town,2020,85 years and over,21,12,33
Athlone Town,2020,Under 1 year,0,0,0
Athy Town,2007,1 - 4 years,0,0,0
Athy Town,2007,10 - 14 years,0,0,0
Athy Town,2007,15 - 19 years,0,0,0
Athy Town,2007,20 - 24 years,0,1,1
Athy Town,2007,25 - 29 years,0,1,1
Athy Town,2007,30 - 34 years,0,1,1
Athy Town,2007,35 - 39 years,0,1,1
Athy Town,2007,40 - 44 years,0,2,2
Athy Town,2007,45 - 49 years,0,1,1
Athy Town,2007,5 - 9 years,0,0,0
Athy Town,2007,50 - 54 years,1,2,3
Athy Town,2007,55 - 59 years,1,1,2
Athy Town,2007,60 - 64 years,0,6,6
Athy Town,2007,65 - 69 years,1,3,4
Athy Town,2007,70 - 74 years,0,3,3
Athy Town,2007,75 - 79 years,2,6,8
Athy Town,2007,80 - 84 years,5,8,13
Athy Town,2007,85 years and over,7,6,13
Athy Town,2007,Under 1 year,0,1,1
Athy Town,2008,1 - 4 years,0,0,0
Athy Town,2008,10 - 14 years,0,0,0
Athy Town,2008,15 - 19 years,0,0,0
Athy Town,2008,20 - 24 years,0,1,1
Athy Town,2008,25 - 29 years,0,1,1
Athy Town,2008,30 - 34 years,0,1,1
Athy Town,2008,35 - 39 years,1,1,2
Athy Town,2008,40 - 44 years,0,1,1
Athy Town,2008,45 - 49 years,0,1,1
Athy Town,2008,5 - 9 years,0,1,1
Athy Town,2008,50 - 54 years,2,2,4
Athy Town,2008,55 - 59 years,1,3,4
Athy Town,2008,60 - 64 years,3,5,8
Athy Town,2008,65 - 69 years,1,5,6
Athy Town,2008,70 - 74 years,6,5,11
Athy Town,2008,75 - 79 years,6,7,13
Athy Town,2008,80 - 84 years,6,5,11
Athy Town,2008,85 years and over,18,6,24
Athy Town,2008,Under 1 year,2,1,3
Athy Town,2009,1 - 4 years,1,0,1
Athy Town,2009,10 - 14 years,1,0,1
Athy Town,2009,15 - 19 years,0,1,1
Athy Town,2009,20 - 24 years,0,1,1
Athy Town,2009,25 - 29 years,0,1,1
Athy Town,2009,30 - 34 years,0,1,1
Athy Town,2009,35 - 39 years,1,1,2
Athy Town,2009,40 - 44 years,0,1,1
Athy Town,2009,45 - 49 years,1,2,3
Athy Town,2009,5 - 9 years,0,1,1
Athy Town,2009,50 - 54 years,2,2,4
Athy Town,2009,55 - 59 years,2,3,5
Athy Town,2009,60 - 64 years,2,3,5
Athy Town,2009,65 - 69 years,3,4,7
Athy Town,2009,70 - 74 years,2,5,7
Athy Town,2009,75 - 79 years,5,7,12
Athy Town,2009,80 - 84 years,2,9,11
Athy Town,2009,85 years and over,11,7,18
